Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Datetime,,,,,
2024-12-31 14:30:00+00:00,424.6099853515625,426.7300109863281,424.2049865722656,426.1000061035156,580949
2024-12-31 14:45:00+00:00,425.6199951171875,425.94000244140625,424.4100036621094,424.6099853515625,270293
2024-12-31 15:00:00+00:00,425.385009765625,426.3699951171875,424.5775146484375,425.6600036621094,244219
2024-12-31 15:15:00+00:00,425.20001220703125,425.8999938964844,424.6199951171875,425.385009765625,209114
2024-12-31 15:30:00+00:00,424.36968994140625,425.6050109863281,424.260009765625,425.1199951171875,174967
2024-12-31 15:45:00+00:00,424.760009765625,425.1300048828125,424.0000915527344,424.3349914550781,162908
2024-12-31 16:00:00+00:00,423.8385925292969,424.8688049316406,423.30999755859375,424.7200012207031,144838
2024-12-31 16:15:00+00:00,423.4812927246094,423.8599853515625,422.9377136230469,423.7799987792969,168042
2024-12-31 16:30:00+00:00,423.3799133300781,423.5799865722656,422.7799987792969,423.32000732421875,148095
2024-12-31 16:45:00+00:00,423.19000244140625,423.95001220703125,423.0199890136719,423.5,151166
2024-12-31 17:00:00+00:00,423.17999267578125,423.44000244140625,422.7799987792969,423.1400146484375,120722
2024-12-31 17:15:00+00:00,422.3299865722656,423.2300109863281,422.260009765625,423.19000244140625,146045
2024-12-31 17:30:00+00:00,422.07501220703125,422.4800109863281,421.864013671875,422.3471984863281,200343
2024-12-31 17:45:00+00:00,423.68341064453125,423.68341064453125,421.94000244140625,422.072509765625,201460
2024-12-31 18:00:00+00:00,422.6300048828125,423.8599853515625,422.55999755859375,423.54998779296875,159008
2024-12-31 18:15:00+00:00,421.92999267578125,422.8399963378906,421.7099914550781,422.625,190710
2024-12-31 18:30:00+00:00,422.1499938964844,422.4779968261719,421.81219482421875,421.9049987792969,142637
2024-12-31 18:45:00+00:00,422.0,422.8900146484375,421.8900146484375,422.16180419921875,149849
2024-12-31 19:00:00+00:00,422.9202880859375,422.9455871582031,421.54998779296875,421.8800048828125,147354
2024-12-31 19:15:00+00:00,422.0199890136719,422.8399963378906,421.7300109863281,422.7799987792969,118653
2024-12-31 19:30:00+00:00,422.3550109863281,422.760009765625,421.8900146484375,421.989990234375,134195
2024-12-31 19:45:00+00:00,422.7550048828125,423.0011901855469,422.239990234375,422.4200134277344,162620
2024-12-31 20:00:00+00:00,421.7300109863281,422.8599853515625,421.6000061035156,422.6199951171875,156491
2024-12-31 20:15:00+00:00,423.19000244140625,423.19000244140625,421.6199951171875,421.7099914550781,208825
2024-12-31 20:30:00+00:00,422.57000732421875,423.3900146484375,422.2101135253906,423.0,266417
2024-12-31 20:45:00+00:00,421.2909851074219,423.19000244140625,420.6600036621094,422.54998779296875,1531534
2025-01-02 14:30:00+00:00,423.1300048828125,426.07000732421875,422.70001220703125,425.5299987792969,1436715
2025-01-02 14:45:00+00:00,425.3999938964844,425.5,422.989990234375,423.19000244140625,616165
2025-01-02 15:00:00+00:00,425.5199890136719,425.92999267578125,424.75,425.5,569155
2025-01-02 15:15:00+00:00,423.19000244140625,425.6400146484375,422.260009765625,425.5199890136719,602236
2025-01-02 15:30:00+00:00,421.25,423.364990234375,420.5,423.1199951171875,540590
2025-01-02 15:45:00+00:00,421.7300109863281,423.1099853515625,421.07000732421875,421.17498779296875,378750
2025-01-02 16:00:00+00:00,421.3039855957031,421.9599914550781,420.3299865722656,421.9100036621094,367535
2025-01-02 16:15:00+00:00,421.4800109863281,421.9045104980469,420.760009765625,421.3550109863281,252475
2025-01-02 16:30:00+00:00,421.30999755859375,422.0799865722656,421.0950012207031,421.489990234375,143418
2025-01-02 16:45:00+00:00,421.7200012207031,422.3599853515625,421.3299865722656,421.3900146484375,252649
2025-01-02 17:00:00+00:00,421.32000732421875,421.9599914550781,420.7300109863281,421.62030029296875,196040
2025-01-02 17:15:00+00:00,418.3399963378906,421.3299865722656,418.05999755859375,421.29620361328125,496641
2025-01-02 17:30:00+00:00,415.94989013671875,418.31878662109375,415.4599914550781,418.2200012207031,444342
2025-01-02 17:45:00+00:00,416.1000061035156,416.45001220703125,414.8500061035156,415.94000244140625,327626
2025-01-02 18:00:00+00:00,415.42999267578125,416.5899963378906,414.8999938964844,415.9200134277344,311531
2025-01-02 18:15:00+00:00,416.2300109863281,416.260009765625,414.9150085449219,415.5400085449219,237222
2025-01-02 18:30:00+00:00,416.7099914550781,416.82000732421875,415.239990234375,416.20001220703125,230350
2025-01-02 18:45:00+00:00,415.6700134277344,416.70361328125,414.9599914550781,416.6000061035156,242245
2025-01-02 19:00:00+00:00,416.0350036621094,417.1000061035156,415.3399963378906,415.739990234375,261179
2025-01-02 19:15:00+00:00,417.07000732421875,417.32000732421875,416.0,416.0,216057
2025-01-02 19:30:00+00:00,417.02899169921875,417.31500244140625,416.5,416.95001220703125,176849
2025-01-02 19:45:00+00:00,416.3699951171875,417.9495849609375,416.30999755859375,417.1099853515625,216994
2025-01-02 20:00:00+00:00,418.1199951171875,418.4800109863281,416.42999267578125,416.42999267578125,220464
2025-01-02 20:15:00+00:00,418.19000244140625,418.5299987792969,417.55999755859375,418.04998779296875,252971
2025-01-02 20:30:00+00:00,418.2650146484375,418.8800048828125,417.8699951171875,418.25,314784
2025-01-02 20:45:00+00:00,418.69000244140625,418.95001220703125,418.010009765625,418.2850036621094,934553
2025-01-03 14:30:00+00:00,421.864990234375,422.7699890136719,420.5299987792969,421.0820007324219,1216489
2025-01-03 14:45:00+00:00,422.4200134277344,422.81988525390625,420.760009765625,421.864990234375,586562
2025-01-03 15:00:00+00:00,421.7484130859375,423.739990234375,421.3699951171875,422.489990234375,598166
2025-01-03 15:15:00+00:00,420.9200134277344,422.0,420.1499938964844,421.739990234375,419376
2025-01-03 15:30:00+00:00,421.864990234375,422.0899963378906,420.3205871582031,420.9100036621094,404062
2025-01-03 15:45:00+00:00,421.3299865722656,422.0412902832031,420.7699890136719,421.82000732421875,255986
2025-01-03 16:00:00+00:00,419.7449951171875,421.3900146484375,419.55010986328125,421.3299865722656,384162
2025-01-03 16:15:00+00:00,421.40301513671875,421.57000732421875,419.57000732421875,419.69000244140625,264709
2025-01-03 16:30:00+00:00,422.473388671875,422.6549987792969,421.30999755859375,421.3599853515625,329558
2025-01-03 16:45:00+00:00,421.5400085449219,422.6099853515625,421.5,422.4119873046875,209083
2025-01-03 17:00:00+00:00,421.340087890625,422.0979919433594,421.340087890625,421.5799865722656,183876
2025-01-03 17:15:00+00:00,421.07000732421875,422.0,421.07000732421875,421.3699951171875,181925
2025-01-03 17:30:00+00:00,421.260009765625,421.4613952636719,420.95001220703125,421.1099853515625,157458
2025-01-03 17:45:00+00:00,421.9845886230469,422.25,421.1401062011719,421.31500244140625,204967
2025-01-03 18:00:00+00:00,422.0299987792969,422.260009765625,421.5199890136719,422.0150146484375,174340
2025-01-03 18:15:00+00:00,422.6549987792969,422.67999267578125,421.94000244140625,422.0150146484375,665449
2025-01-03 18:30:00+00:00,423.5899963378906,423.8800048828125,422.5299987792969,422.67999267578125,247290
2025-01-03 18:45:00+00:00,422.9549865722656,423.75,422.5517883300781,423.6300048828125,179187
2025-01-03 19:00:00+00:00,423.6700134277344,423.7200012207031,422.2809143066406,422.8699951171875,275466
2025-01-03 19:15:00+00:00,423.510009765625,423.8500061035156,423.2550048828125,423.5899963378906,183250
2025-01-03 19:30:00+00:00,423.5400085449219,424.0199890136719,423.3599853515625,423.67999267578125,208536
2025-01-03 19:45:00+00:00,423.260009765625,423.70001220703125,423.0899963378906,423.5199890136719,198328
2025-01-03 20:00:00+00:00,422.98309326171875,423.18499755859375,422.6199951171875,423.17999267578125,192322
