Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2024-12-31 14:30:00+00:00,252.0738983154297,253.27999877929688,251.86500549316406,252.66000366210938,1634727
2024-12-31 14:45:00+00:00,252.2689971923828,252.32000732421875,251.5500946044922,252.05999755859375,786875
2024-12-31 15:00:00+00:00,251.91000366210938,252.39999389648438,251.32000732421875,252.25,609339
2024-12-31 15:15:00+00:00,251.6876983642578,252.3000030517578,251.61000061035156,251.89999389648438,477742
2024-12-31 15:30:00+00:00,251.55979919433594,252.139892578125,251.4600067138672,251.69000244140625,540086
2024-12-31 15:45:00+00:00,251.81849670410156,251.98500061035156,251.39999389648438,251.57000732421875,353052
2024-12-31 16:00:00+00:00,251.4600067138672,251.8459930419922,251.05999755859375,251.8300018310547,429966
2024-12-31 16:15:00+00:00,251.17999267578125,251.48989868164062,251.02999877929688,251.4550018310547,377880
2024-12-31 16:30:00+00:00,251.25,251.35000610351562,251.0500030517578,251.17999267578125,279530
2024-12-31 16:45:00+00:00,251.31500244140625,251.5500030517578,251.13009643554688,251.25,328965
2024-12-31 17:00:00+00:00,251.2550048828125,251.52999877929688,250.92999267578125,251.32000732421875,367568
2024-12-31 17:15:00+00:00,250.71629333496094,251.4600067138672,250.64999389648438,251.22500610351562,407694
2024-12-31 17:30:00+00:00,250.25,250.75999450683594,250.0749969482422,250.6999969482422,576921
2024-12-31 17:45:00+00:00,250.6699981689453,250.7100067138672,250.07000732421875,250.24000549316406,516465
2024-12-31 18:00:00+00:00,250.1199951171875,250.72999572753906,250.08999633789062,250.66000366210938,396201
2024-12-31 18:15:00+00:00,249.69000244140625,250.25,249.44000244140625,250.13609313964844,669056
2024-12-31 18:30:00+00:00,249.9799041748047,250.02000427246094,249.52999877929688,249.69000244140625,382978
2024-12-31 18:45:00+00:00,249.8800048828125,250.2050018310547,249.85040283203125,249.9600067138672,334795
2024-12-31 19:00:00+00:00,250.18499755859375,250.26800537109375,249.67999267578125,249.889892578125,384514
2024-12-31 19:15:00+00:00,249.77000427246094,250.22000122070312,249.6699981689453,250.1999969482422,392546
2024-12-31 19:30:00+00:00,249.97999572753906,250.11599731445312,249.69000244140625,249.76499938964844,421638
2024-12-31 19:45:00+00:00,250.4199981689453,250.42999267578125,249.89999389648438,249.97999572753906,449858
2024-12-31 20:00:00+00:00,249.97500610351562,250.44000244140625,249.7949981689453,250.39500427246094,522228
2024-12-31 20:15:00+00:00,250.7700958251953,250.8800048828125,249.92999267578125,249.99000549316406,771139
2024-12-31 20:30:00+00:00,250.82000732421875,251.01480102539062,250.4949951171875,250.77000427246094,933140
2024-12-31 20:45:00+00:00,250.3800048828125,251.0800018310547,249.5,250.6199951171875,4217750
2025-01-02 14:30:00+00:00,245.1959991455078,249.10000610351562,244.8000030517578,248.92999267578125,6834532
2025-01-02 14:45:00+00:00,246.85260009765625,246.99000549316406,244.97000122070312,245.2064971923828,2915985
2025-01-02 15:00:00+00:00,247.39999389648438,247.80999755859375,246.27999877929688,246.88499450683594,1853450
2025-01-02 15:15:00+00:00,245.73989868164062,247.4600067138672,245.2899932861328,247.41000366210938,1897262
2025-01-02 15:30:00+00:00,245.14999389648438,245.74159240722656,244.93209838867188,245.6300048828125,1926339
2025-01-02 15:45:00+00:00,245.4149932861328,245.8800048828125,244.82000732421875,245.14999389648438,1890755
2025-01-02 16:00:00+00:00,244.33999633789062,245.48500061035156,244.16009521484375,245.41749572753906,1778496
2025-01-02 16:15:00+00:00,244.89500427246094,245.0800018310547,244.18499755859375,244.36000061035156,1235192
