Date,Predicted_Price,Original_Price,Model,Daily_Return,Cumulative_Return,Daily_Change,Daily_Pct_Change
2025-03-25,221.52999877929688,219.56978993943952,AAPL_short_term_20250325_173342,0.0,0.0,,
2025-03-26,222.59996935420372,220.63029287659583,AAPL_short_term_20250325_173342,0.004829912791959323,0.004829912791959323,,
2025-03-27,223.52693527618024,221.54905653791005,AAPL_short_term_20250325_173342,0.004164267967627255,0.009014293810712504,,
2025-03-28,224.12615399210256,222.14297306527808,AAPL_short_term_20250325_173342,0.0026807450081214323,0.011719203841968895,,
2025-03-29,224.03756429777243,222.05516725711644,AAPL_short_term_20250325_173342,-0.0003952670973564887,0.011319304528926377,,
2025-03-30,223.8722757819201,221.89134129717837,AAPL_short_term_20250325_173342,-0.0007377714374391386,0.010573182031914152,,
2025-03-31,223.6003411158078,221.62181284575172,AAPL_short_term_20250325_173342,-0.0012146866563200742,0.009345652272465088,,
2025-04-01,223.14084882112013,221.1663863699728,AAPL_short_term_20250325_173342,-0.0020549713493043242,0.007271475875500144,,
2025-04-02,222.42214095679384,220.4540379942787,AAPL_short_term_20250325_173342,-0.0032208708899482685,0.004027184500577707,,
2025-04-03,221.79389458703253,219.83135066435128,AAPL_short_term_20250325_173342,-0.0028245675860271158,0.001191241859747283,,
2025-04-04,221.49513447177048,219.5352341288399,AAPL_short_term_20250325_173342,-0.0013470168591354081,-0.00015737962225659263,,
2025-04-05,221.28340642983937,219.3253795631049,AAPL_short_term_20250325_173342,-0.0009559038054539615,-0.0011131329879308094,,
2025-04-06,221.43336137647083,219.47400763295403,AAPL_short_term_20250325_173342,0.0006776601510740665,-0.00043622716272539996,,
2025-04-07,221.6638332335984,219.7024401591821,AAPL_short_term_20250325_173342,0.0010408181300907149,0.0006041369342255631,,
