Date,Predicted_Price,Original_Price,Model,Daily_Return,Cumulative_Return,Daily_Change,Daily_Pct_Change
2025-03-25 20:00:00,223.75,224.48169894209784,AAPL_intraday_5m_improved_intraday,0.0,0.0,,
2025-03-25 20:05:00,223.78710342549624,224.51892370183847,AAPL_intraday_5m_improved_intraday,0.00016582536534626158,0.00016582536534626158,,
2025-03-25 20:10:00,223.82325577391438,224.55519427432407,AAPL_intraday_5m_improved_intraday,0.00016154795278522371,0.000327400106879816,,
2025-03-25 20:15:00,223.85200016176364,224.5840326610032,AAPL_intraday_5m_improved_intraday,0.00012842449168148917,0.00045586664475361083,,
2025-03-25 20:20:00,223.87285697212985,224.60495767653623,AAPL_intraday_5m_improved_intraday,9.317232077954429e-05,0.0005490814396864607,,
2025-03-25 20:25:00,223.8892716163149,224.6214259992812,AAPL_intraday_5m_improved_intraday,7.3321278903693e-05,0.0006224429779435603,,
2025-03-25 20:30:00,223.90112500576507,224.63331815124545,AAPL_intraday_5m_improved_intraday,5.294308818193372e-05,0.00067541902017898,,
2025-03-25 20:35:00,223.91052810744287,224.64275200259723,AAPL_intraday_5m_improved_intraday,4.199667008175645e-05,0.0007174440556105832,,
2025-03-25 20:40:00,223.9179295426116,224.6501776416644,AAPL_intraday_5m_improved_intraday,3.305532451425286e-05,0.0007505230954707454,,
2025-03-25 20:45:00,223.92244185684487,224.65470471190017,AAPL_intraday_5m_improved_intraday,2.0151643249199935e-05,0.0007706898629937786,,
2025-03-25 20:50:00,223.9265169692653,224.6587931506019,AAPL_intraday_5m_improved_intraday,1.8198767334887123e-05,0.0007889026559342316,,
2025-03-25 20:55:00,223.92879596528257,224.66107959930736,AAPL_intraday_5m_improved_intraday,1.0177428060531568e-05,0.0007990881129946725,,
2025-03-25 21:00:00,223.9298612368641,224.66214835450043,AAPL_intraday_5m_improved_intraday,4.757188895476716e-06,0.0008038491033033335,,
2025-03-25 21:05:00,223.93046809908202,224.66275720125665,AAPL_intraday_5m_improved_intraday,2.7100549009340114e-06,0.0008065613366794455,,
2025-03-25 21:10:00,223.9308530976934,224.6631434588762,AAPL_intraday_5m_improved_intraday,1.719277482159498e-06,0.0008082820008643576,,
2025-03-25 21:15:00,223.9310961688506,224.66338732491565,AAPL_intraday_5m_improved_intraday,1.0854741714361182e-06,0.00080936835240486,,
2025-03-25 21:20:00,223.93124462170496,224.66353626323504,AAPL_intraday_5m_improved_intraday,6.629398816571097e-07,0.0008100318288490893,,
2025-03-25 21:25:00,223.93134087135783,224.66363282763996,AAPL_intraday_5m_improved_intraday,4.2981788017648626e-07,0.0008104619948954284,,
2025-03-25 21:30:00,223.9314012313096,224.6636933849786,AAPL_intraday_5m_improved_intraday,2.695466900792809e-07,0.000810731760042982,,
2025-03-25 21:35:00,223.93144038371074,224.66373266541447,AAPL_intraday_5m_improved_intraday,1.7484104919418542e-07,0.0008109067428412331,,
2025-03-25 21:40:00,223.93146648531152,224.66375885237173,AAPL_intraday_5m_improved_intraday,1.1656067910870149e-07,0.0008110233980402892,,
2025-03-25 21:45:00,223.93148116746198,224.6637735825352,AAPL_intraday_5m_improved_intraday,6.556537446300581e-08,0.0008110890165897722,,
2025-03-25 21:50:00,223.93149258691227,224.66378503932896,AAPL_intraday_5m_improved_intraday,5.0995287548261103e-08,0.0008111400532391233,,
2025-03-25 21:55:00,223.93149911231248,224.6637915860683,AAPL_intraday_5m_improved_intraday,2.9140163171348377e-08,0.0008111692170389428,,
