Date,Predicted_Price,Original_Price,Model,Daily_Return,Cumulative_Return,Daily_Change,Daily_Pct_Change
2025-03-25 20:00:00,223.75,223.78895967193327,AAPL_intraday_5m_20250325_182112,0.0,0.0,,
2025-03-25 20:05:00,223.7774712128014,223.81643566806176,AAPL_intraday_5m_20250325_182112,0.00012277637006219422,0.00012277637006219422,,
2025-03-25 20:10:00,223.79498621215595,223.8339537171532,AAPL_intraday_5m_20250325_182112,7.826971705249264e-05,0.00020105569678641189,,
2025-03-25 20:15:00,223.8060750034402,223.84504443923376,AAPL_intraday_5m_20250325_182112,4.954888164365734e-05,0.000250614540515004,,
2025-03-25 20:20:00,223.81304269945468,223.8520133484735,AAPL_intraday_5m_20250325_182112,3.113273852983767e-05,0.0002817550813616343,,
2025-03-25 20:25:00,223.81898115502565,223.8579528380569,AAPL_intraday_5m_20250325_182112,2.653310771938422e-05,0.00030829566491918925,,
2025-03-25 20:30:00,223.8224395131424,223.86141179834792,AAPL_intraday_5m_20250325_182112,1.5451585468229112e-05,0.0003237520140442207,,
2025-03-25 20:35:00,223.8256484836818,223.86462132763788,AAPL_intraday_5m_20250325_182112,1.433712610032778e-05,0.0003380937818180385,,
2025-03-25 20:40:00,223.82835454557076,223.86732786071025,AAPL_intraday_5m_20250325_182112,1.2090043778778536e-05,0.00035018791316532294,,
2025-03-25 20:45:00,223.82978886859846,223.8687624334843,AAPL_intraday_5m_20250325_182112,6.408138194080593e-06,0.00035659829541212495,,
2025-03-25 20:50:00,223.8311102094088,223.8700840043684,AAPL_intraday_5m_20250325_182112,5.903328672340891e-06,0.00036250372920121343,,
2025-03-25 20:55:00,223.83118047883664,223.8701542860317,AAPL_intraday_5m_20250325_182112,3.139395046147797e-07,0.00036281778251012753,,
2025-03-25 21:00:00,223.83162689637842,223.87060078130432,AAPL_intraday_5m_20250325_182112,1.9944385800663156e-06,0.00036481294470802617,,
2025-03-25 21:05:00,223.83191210758562,223.8708860421729,AAPL_intraday_5m_20250325_182112,1.2742221069395043e-06,0.0003660876316675665,,
2025-03-25 21:10:00,223.83210500405428,223.871078972229,AAPL_intraday_5m_20250325_182112,8.617916311681739e-07,0.0003669497387901455,,
2025-03-25 21:15:00,223.83223865375047,223.87121264519644,AAPL_intraday_5m_20250325_182112,5.970979730651749e-07,0.000367547055867945,,
2025-03-25 21:20:00,223.83233096848903,223.871304976009,AAPL_intraday_5m_20250325_182112,4.1242825044029985e-07,0.00036795963570512846,,
2025-03-25 21:25:00,223.83239848225307,223.8713725015286,AAPL_intraday_5m_20250325_182112,3.0162650643816846e-07,0.0003682613731981199,,
2025-03-25 21:30:00,223.8324439507064,223.87141797789897,AAPL_intraday_5m_20250325_182112,2.0313615745060076e-07,0.00036846458416261996,,
2025-03-25 21:35:00,223.83247564084053,223.87144967355104,AAPL_intraday_5m_20250325_182112,1.415797172832356e-07,0.0003686062160470627,,
2025-03-25 21:40:00,223.83249768615124,223.8714717227003,AAPL_intraday_5m_20250325_182112,9.849022419849973e-08,0.00036870474257533203,,
2025-03-25 21:45:00,223.83251284230235,223.87148688149043,AAPL_intraday_5m_20250325_182112,6.771202243349705e-08,0.00036877247956357273,,
2025-03-25 21:50:00,223.83252110929385,223.8714951499214,AAPL_intraday_5m_20250325_182112,3.6933827773921735e-08,0.0003688094270115627,,
2025-03-25 21:55:00,223.8325293762854,223.8715034183524,AAPL_intraday_5m_20250325_182112,3.693382666369871e-08,0.0003688463744599968,,
