Date,Mean_Price,Median_Price,Std_Dev,Min_Price,Max_Price,CI_Lower,CI_Upper,Model_Count,Up_Votes,Down_Votes,Neutral_Votes,Direction,Confidence,Signal,Daily_Return,Cumulative_Return
2025-03-21 00:00:00,223.75,223.75,,223.75,223.75,,,1,0,0,1,NEUTRAL,1.0,HOLD,0.0,0.0
2025-03-22 00:00:00,220.94050680667968,220.94050680667968,,220.94050680667968,220.94050680667968,,,1,0,1,0,DOWN,1.0,SELL,-0.0125563941600908,-0.0125563941600908
2025-03-23 00:00:00,217.7460599682069,217.7460599682069,,217.7460599682069,217.7460599682069,,,1,0,1,0,DOWN,1.0,SELL,-0.01445840278291688,-0.026833251538740055
2025-03-24 00:00:00,214.9877287322696,214.9877287322696,,214.9877287322696,214.9877287322696,,,1,0,1,0,DOWN,1.0,SELL,-0.012667651650459466,-0.03916098890605768
2025-03-25 00:00:00,221.55994338618248,223.75,4.897115463068988,212.79971693091238,223.75,211.96159707856725,231.1582896937977,5,4,1,0,UP,0.8,BUY,0.030570185064364486,-0.00978796251985481
2025-03-25 20:00:00,223.75,223.75,1.6409281590473078e-14,223.74999999999997,223.75,223.74999999999997,223.75000000000003,4,4,0,0,UP,1.0,BUY,0.009884713727337457,0.0
2025-03-25 20:05:00,223.8650688896732,223.79987560535818,0.14607882584042967,223.7774712128014,224.08305313517505,223.57875439102597,224.15138338832045,4,4,0,0,UP,1.0,BUY,0.0005142743672545969,0.0005142743672545969
2025-03-25 20:10:00,223.90722782650494,223.83580488246048,0.1714499421738054,223.79498621215595,224.16231532894278,223.57118593984427,224.2432697131656,4,1,3,0,DOWN,0.75,SELL,0.00018832297973436773,0.0007026941966701283
2025-03-25 20:15:00,223.90607885789484,223.85971825414515,0.13109979592029242,223.8060750034402,224.0988039198488,223.64912325789106,224.16303445789862,4,1,3,0,DOWN,0.75,SELL,-5.131449400952448e-06,0.000697559141429549
2025-03-25 20:20:00,223.91647486807042,223.87468883046958,0.1280203863934624,223.81304269945468,224.10347911188785,223.66555491073925,224.1673948254016,4,1,3,0,DOWN,0.75,SELL,4.643022748029857e-05,0.000744021756739377
2025-03-25 20:25:00,223.88701393890676,223.8851954888938,0.057168891378548164,223.81898115502565,223.95868362281382,223.7749629118048,223.99906496600872,4,1,3,0,DOWN,0.75,SELL,-0.0001315710654208324,0.0006123527995833822
2025-03-25 20:30:00,223.93472273822425,223.89140262410046,0.1367727761717345,223.8224395131424,224.13364619155374,223.66664809692764,224.20279737952086,4,2,2,0,NEUTRAL,0.0,HOLD,0.00021309319588547204,0.0008255764836837542
2025-03-25 20:35:00,223.88746027730627,223.89581615498534,0.04628619576969936,223.8256484836818,223.93256031557252,223.79673933359766,223.9781812210149,4,0,4,0,DOWN,1.0,SELL,-0.00021105463386861256,0.0006143476080726629
2025-03-25 20:40:00,223.88634421346697,223.89915925927747,0.04259515477360295,223.82835454557076,223.91870378974218,223.80285771011071,223.96983071682322,4,2,2,0,NEUTRAL,0.0,HOLD,-4.984932331253411e-06,0.0006093596132601409
2025-03-25 20:45:00,223.91321657129376,223.9008786519343,0.08140628428563364,223.82978886859846,224.02132011270797,223.75366025409392,224.0727728884936,4,2,2,0,NEUTRAL,0.0,HOLD,0.00012002678377376341,0.0007294595365083811
2025-03-25 20:50:00,223.90908463967605,223.9024455918081,0.07223584432492972,223.8311102094088,224.00033716567913,223.7675023847992,224.0506668945529,4,2,2,0,NEUTRAL,0.0,HOLD,-1.8453272571328228e-05,0.0007109928030215595
2025-03-25 20:55:00,223.919462178165,223.90326881910164,0.08978167137966607,223.83118047883664,224.04013059561996,223.74349010226084,224.09543425406915,4,2,2,0,NEUTRAL,0.0,HOLD,4.634710782558393e-05,0.0007573728633072374
2025-03-25 21:00:00,224.02200837755117,223.9298612368641,0.24955823576905825,223.83162689637842,224.30453699941097,223.5328742354438,224.51114251965853,3,2,1,0,UP,0.6666666666666666,BUY,0.0004579601897425345,0.0012156798996700857
2025-03-25 21:05:00,223.88666769659258,223.89762288311005,0.050182994616544185,223.83191210758562,223.93046809908202,223.78830902714415,223.985026366041,3,0,3,0,DOWN,1.0,SELL,-0.0006041401107810263,0.0006108053478997011
2025-03-25 21:10:00,223.9318665152508,223.9308530976934,0.10027206090606584,223.83210500405428,224.03264144400464,223.7353332758749,224.12839975462668,3,2,1,0,UP,0.6666666666666666,BUY,0.00020188258248343693,0.0008128112413443578
2025-03-25 21:15:00,223.92765462422378,223.9310961688506,0.093742590802089,223.83223865375047,224.01962905007028,223.74391914625167,224.11139010219588,3,1,2,0,DOWN,0.6666666666666666,SELL,-1.8808805966497033e-05,0.0007939871473687798
2025-03-25 21:20:00,223.91445603603268,223.93124462170496,0.07515064600936461,223.83233096848903,223.97979251790403,223.7671607698543,224.06175130221104,3,2,1,0,UP,0.6666666666666666,BUY,-5.8941305008719524e-05,0.0007349990437215403
2025-03-25 21:25:00,223.90960032875128,223.93134087135783,0.06895191268169142,223.83239848225307,223.96506163264297,223.77445457989518,224.04474607760739,3,2,1,0,UP,0.6666666666666666,BUY,-2.168554620074481e-05,0.0007132975586650048
2025-03-25 21:30:00,223.8649096756818,223.8324439507064,0.05758865955886644,223.83088384502932,223.9314012313096,223.7520359029464,223.97778344841717,3,1,2,0,DOWN,0.6666666666666666,SELL,-0.00019959239355471503,0.000513562796343292
2025-03-25 21:35:00,223.99727167600827,223.93144038371074,0.20576741290393433,223.83247564084053,224.22789900347357,223.59396754671656,224.40057580529998,3,2,1,0,UP,0.6666666666666666,BUY,0.0005912583643332692,0.0011051248089755106
2025-03-25 21:40:00,223.92379152675667,223.93146648531152,0.0877085735737778,223.83249768615124,224.00741040880723,223.75188272255207,224.09570033096128,3,1,2,0,DOWN,0.6666666666666666,SELL,-0.00032804037612510495,0.0007767219072924991
2025-03-25 21:45:00,224.00349207662342,223.93148116746198,0.21617548362026082,223.83251284230235,224.2464822201059,223.5797881287277,224.42719602451913,3,2,1,0,UP,0.6666666666666666,BUY,0.0003559271184332413,0.001132925482115743
2025-03-25 21:50:00,223.93309535175703,223.93149258691227,0.10138512692846992,223.83252110929385,224.035272359065,223.73438050297722,224.13181020053685,3,1,2,0,DOWN,0.6666666666666666,SELL,-0.0003142661938605462,0.0008183032480761909
2025-03-25 21:55:00,223.97609465915176,223.93149911231248,0.1703001043421853,223.8325293762854,224.16425548885744,223.64230645464107,224.30988286366244,3,1,2,0,DOWN,0.6666666666666666,SELL,0.00019201854610706448,0.0010104789235831912
2025-03-26 00:00:00,223.30250950676935,225.66254753958395,6.906035679616083,211.2435979902572,228.81452132979436,209.76667957472182,236.8383394388169,5,4,1,0,UP,0.8,BUY,-0.0030073975234163886,-0.0019999575116453894
2025-03-27 00:00:00,224.932950985255,227.20291309234537,8.71827660768261,210.16575068906138,233.22417604566803,207.84512883419708,242.0207731363129,5,4,1,0,UP,0.8,BUY,0.007301491963018991,0.005286931777676029
2025-03-28 00:00:00,226.0837360337079,228.1715205801105,10.047454900026969,209.4264322939113,236.38045589526618,206.39072442965505,245.77674763776076,5,4,1,0,UP,0.8,BUY,0.005116124798133059,0.010430105178582894
2025-03-29 00:00:00,226.51411237805738,227.95156185378335,10.840573039697357,208.95903022781536,238.3028901862963,205.26658922025055,247.7616355358642,5,4,1,0,UP,0.8,BUY,0.0019036147929070157,0.012353574873999351
2025-03-30 00:00:00,226.75266604115123,228.128631925701,11.27786776329132,208.69171576794378,239.30207439104763,204.64804522510025,248.8572868572022,5,3,2,0,UP,0.6,BUY,0.0010531514376275197,0.0134197364967652
2025-03-31 00:00:00,226.9215619319278,228.8112038908023,11.504098835848609,208.53574155476616,239.71808374016686,204.37352821366454,249.46959565019108,5,3,2,0,UP,0.6,BUY,0.0007448463284922546,0.014174578466716437
2025-04-01 00:00:00,226.82225034762945,228.62898216534646,11.585038716078554,208.44987817207635,239.81261818236493,204.11557446411547,249.52892623114343,5,3,2,0,UP,0.6,BUY,-0.00043764719162364685,0.013730727810634447
2025-04-02 00:00:00,226.60776883710642,228.30191308586532,11.666361195230053,208.29393519330492,239.75470119211835,203.7417008944555,249.47383677975733,5,3,2,0,UP,0.6,BUY,-0.0009455929045510958,0.012772151227291362
2025-04-03 00:00:00,226.56366742613667,228.68432960789156,11.752864724820673,208.18619731479467,239.64047228950494,203.52805256548817,249.59928228678518,5,3,2,0,UP,0.6,BUY,-0.00019461561797318172,0.012575049949214101
2025-04-04 00:00:00,226.47227843070027,228.42334009997182,11.783806845928263,208.12719552145123,239.51860507415182,203.37601701268088,249.56853984871967,5,3,2,0,UP,0.6,BUY,-0.00040337003931223414,0.012166607511509664
2025-04-05 00:00:00,226.46744271782532,228.47530232732763,11.828618220841296,208.07560669384995,239.4101719993808,203.2833510049764,249.65153443067425,5,3,2,0,UP,0.6,BUY,-2.1352339052094216e-05,0.012144995386928814
2025-04-06 00:00:00,226.60691663412848,228.7369361634303,11.84516075694897,208.09979253573044,239.32195980928145,203.3904015505085,249.82343171774846,5,3,2,0,UP,0.6,BUY,0.0006158674051746083,0.012768342498898244
2025-04-07 00:00:00,226.56948486690186,228.09163997012536,11.820059626260248,208.1186164712104,239.25374657990264,203.40216799943178,249.73680173437194,5,3,2,0,UP,0.6,BUY,-0.00016518369246010245,0.012601049684477506
2025-04-08 00:00:00,208.13362980913192,208.13362980913192,,208.13362980913192,208.13362980913192,,,1,0,1,0,DOWN,1.0,SELL,-0.08136954130694196,-0.06979383325527633
2025-04-09 00:00:00,208.17738921224154,208.17738921224154,,208.17738921224154,208.17738921224154,,,1,1,0,0,UP,1.0,BUY,0.0002102466725331098,-0.06959826050394846
2025-04-10 00:00:00,208.1784199476467,208.1784199476467,,208.1784199476467,208.1784199476467,,,1,1,0,0,UP,1.0,BUY,4.9512361022241436e-06,-0.06959365386526617
2025-04-11 00:00:00,208.17834706736556,208.17834706736556,,208.17834706736556,208.17834706736556,,,1,0,1,0,DOWN,1.0,SELL,-3.5008566756644655e-07,-0.06959397958719304
2025-04-12 00:00:00,208.1783158329593,208.1783158329593,,208.1783158329593,208.1783158329593,,,1,0,1,0,DOWN,1.0,SELL,-1.500367675655312e-07,-0.06959411918230485
2025-04-13 00:00:00,208.1783262444281,208.1783262444281,,208.1783262444281,208.1783262444281,,,1,1,0,0,UP,1.0,BUY,5.0012263441701066e-08,-0.06959407265060069
