datetime,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2024-12-06 12:30:00,176.35000610351562,176.4398956298828,176.11000061035156,176.26499938964844,428363,GOOG,30m,175.97678835499806,175.56218065534318,58.11759406832514,0.11058701432460794,-0.04838340798170411,0.15897042230631203,176.7446428850539,175.57233657836915,174.4000302716844,0.708021981375558,-0.039701319393914414,-0.00039709202454244185
2024-12-06 13:00:00,176.25999450683594,176.6699981689453,176.21499633789062,176.5850067138672,389655,GOOG,30m,176.0984320267719,175.668573651995,67.44351443500139,0.158579170011933,-0.006990892382976691,0.16557006239490968,176.84096855929812,175.59958724975587,174.35820594021362,0.6905223301478794,0.1815489889239741,0.0018138438793791698
2024-12-06 13:30:00,176.5800018310547,176.6199951171875,176.19000244140625,176.42999267578125,378894,GOOG,30m,176.16474415657376,175.7528588431222,63.81718124642653,0.18200689954915106,0.030808666003448865,0.1511982335457022,176.92012507427077,175.62827682495117,174.33642857563157,0.6833289010184151,-0.08778437137481054,-0.0008782292441811467
2024-12-06 14:00:00,176.41470336914062,176.4989013671875,175.97999572753906,175.97999572753906,399016,GOOG,30m,176.12779447076682,175.79785810198103,56.81805421151541,0.16239061314959713,0.05712505543267852,0.10526555771691862,176.9537714738406,175.65927658081054,174.3647816877805,0.6939642769949776,-0.2550569443536377,-0.002553827687209867
2024-12-06 14:30:00,175.97999572753906,176.30999755859375,175.8800048828125,176.11000061035156,368806,GOOG,30m,176.12423569868378,175.86285836356026,59.8913310290381,0.1555418823982393,0.07680842082579067,0.07873346157244862,176.99821146533668,175.69427642822265,174.39034139110862,0.7075206211635044,0.07387480734672991,0.0007384753334251277
2024-12-06 15:00:00,176.11000061035156,176.3800048828125,175.9801025390625,176.110107421875,478086,GOOG,30m,176.12141004332204,175.9407228742327,62.33114814086034,0.14841203121997637,0.09112914290462781,0.05728288831534856,177.03838148129068,175.73178176879884,174.425182056307,0.7057277134486607,6.065045883296705e-05,6.06504404405837e-07
2024-12-06 15:30:00,176.1300048828125,176.61000061035156,175.97999572753906,176.4199981689453,1649462,GOOG,30m,176.18112766844672,176.0657228742327,69.97714667930103,0.16585528967888763,0.10607437225947978,0.059780917419407845,177.1139349783011,175.7752815246582,174.4366280710153,0.7141429356166294,0.17596420308116922,0.0017580956745299782
2024-12-09 09:30:00,175.71499633789062,177.13499450683594,175.39999389648438,176.50999450683594,2213815,GOOG,30m,176.24690103612457,176.21929386683874,75.84125004584969,0.18481076654046547,0.12182165111567694,0.06298911542478852,177.18290223931328,175.84600601196288,174.5091097846125,0.7594996861049107,0.051012548931361756,0.0005099954195389189
2024-12-09 10:00:00,176.47999572753906,176.8000030517578,175.92999267578125,176.17999267578125,890002,GOOG,30m,176.23351936405592,176.26786477225167,60.14912592349667,0.17123088563232614,0.13170349801900677,0.039527387613319365,177.20661645893605,175.89250564575195,174.57839483256785,0.6645791190011161,-0.18695928917605853,-0.0018713427619210642
2024-12-09 10:30:00,176.1699981689453,176.6199951171875,175.75,176.1199951171875,998593,GOOG,30m,176.21081451468226,176.27643585205078,52.061769178333606,0.15385389864400167,0.13613357814400576,0.017720320499995917,177.22312826895217,175.93100509643554,174.63888192391892,0.6595785958426339,-0.034054694680429876,-0.00034060494608381306
2024-12-09 11:00:00,176.08999633789062,177.74000549316406,176.0,177.30999755859375,1041686,GOOG,30m,176.43065112346454,176.38072095598494,68.48084738167715,0.23341509905148428,0.15558988232550147,0.0778252167259828,177.41873506141738,176.03650512695313,174.65427519248888,0.7238649640764508,0.6756770806258805,0.006734046136554069
2024-12-09 11:30:00,177.3000030517578,177.8300018310547,177.1772003173828,177.625,694503,GOOG,30m,176.66952089877165,176.4600067138672,65.41658366217241,0.31821777163045795,0.18811546018649278,0.13010231144396517,177.63400439150348,176.16675491333007,174.69950543515665,0.7101004464285714,0.177656333959475,0.0017749871175077522
2024-12-09 12:00:00,177.5800018310547,177.99000549316406,177.44000244140625,177.74000549316406,629249,GOOG,30m,176.88361781765016,176.55143519810267,67.48615882333323,0.39020642599314215,0.22853365334782266,0.16167277264531948,177.77044505185935,176.32025527954102,174.87006550722268,0.7201788766043526,0.06474623119721024,0.0006472527986791532
2024-12-09 12:30:00,177.74000549316406,178.0399932861328,177.53329467773438,177.72000122070312,504144,GOOG,30m,177.05089449826076,176.6503633771624,69.47931823351918,0.44056521407532045,0.2709399654933222,0.16962524858199823,177.7483053852032,176.4882553100586,175.22820523491401,0.7227292742047992,-0.011254794555359826,-0.00011255427954887899
2024-12-09 13:00:00,177.74989318847656,177.84500122070312,177.41000366210938,177.64999389648438,1099676,GOOG,30m,177.17071437790548,176.7492915562221,69.47931823351918,0.46941478897042543,0.3106349301887429,0.15877985878168255,177.8676010489403,176.59575500488282,175.32390896082535,0.7302365984235492,-0.039391921977205424,-0.0003939968263290526
2024-12-09 13:30:00,177.63999938964844,177.86000061035156,177.41000366210938,177.5,1932009,GOOG,30m,177.23657150232438,176.8146482195173,63.5153105151888,0.4747029509040601,0.34344853433180633,0.13125441657225378,177.9712649206125,176.6707550048828,175.37024508915312,0.7298791067940849,-0.08443225535474941,-0.0008446791945955598
2024-12-09 14:00:00,177.47999572753906,177.55990600585938,176.94000244140625,177.02000427246094,739121,GOOG,30m,177.19325805635168,176.85679190499442,57.951624379470175,0.43514612001243336,0.36178805146793175,0.07335806854450161,177.9785663194861,176.72925491333007,175.47994350717403,0.7434441702706474,-0.2704201281910179,-0.0027078642392696474
2024-12-09 14:30:00,176.99000549316406,176.99000549316406,176.52000427246094,176.9199981689453,1677532,GOOG,30m,177.13860607887042,176.92393493652344,63.988065503492244,0.3912176759278623,0.3676739763599179,0.023543699567944387,177.9973220251332,176.74950485229493,175.50168767945667,0.7420937674386161,-0.05649423856171065,-0.0005651020256944355
2024-12-09 15:00:00,176.91000366210938,176.97669982910156,176.58999633789062,176.96499633789062,929214,GOOG,30m,177.10388413067446,176.98500605991907,63.05333339545546,0.35593208021134615,0.3653255971302035,-0.00939351691885737,178.01833602337294,176.7747543334961,175.53117264361927,0.7390016828264508,0.025434190261708345,0.0002543095631987666
2024-12-09 15:30:00,176.97000122070312,177.19000244140625,176.72999572753906,177.0500030517578,2248744,GOOG,30m,177.09310791489114,177.05214146205358,63.98692068393923,0.3310116267794001,0.35846280306004286,-0.027451176280642753,178.04190695694143,176.8105041503906,175.5791013438398,0.7432948521205357,0.04803589163184796,0.0004802435809076868
2024-12-10 09:30:00,184.53500366210938,188.02999877929688,183.3699951171875,185.77000427246094,10336365,GOOG,30m,178.82848718640508,177.7199990408761,89.7195861854387,1.003327475721818,0.4874357375923979,0.5158917381294201,181.45734975372898,177.28575439453124,173.1141590353335,1.4825799124581474,4.925162988081944,0.04807717660735879
2024-12-10 10:00:00,185.75,187.02999877929688,185.1300048828125,186.1199951171875,2593937,GOOG,30m,180.28678877256158,178.40642765590124,89.94176806414012,1.5465562284529426,0.6992598357645069,0.8472963926884357,183.48719546597493,177.76250381469725,172.03781216341957,1.4943651471819197,0.1884000843393574,0.0018822283397210563
2024-12-10 10:30:00,186.11000061035156,186.1300048828125,183.45309448242188,183.6300048828125,2130326,GOOG,30m,180.95543199461179,178.9385713849749,76.25091939833713,1.755906529093238,0.9105891744302532,0.8453173546629849,184.37554449318944,178.12250442504882,171.8694643569082,1.623429434640067,-1.33784133875956,-0.013468710620110727
2024-12-10 11:00:00,183.65499877929688,184.24639892578125,182.6699981689453,183.67019653320312,1597885,GOOG,30m,181.49838490233006,179.47787148611886,76.64113161142207,1.9031232606335493,1.1090959916709124,0.7940272689626369,185.13958176587047,178.50701446533202,171.87444716479357,1.673886980329241,0.02188730018075624,0.00021884905260659423
2024-12-10 11:30:00,183.6699981689453,184.7738037109375,183.1999969482422,184.69000244140625,1346059,GOOG,30m,182.1367084101453,180.00501469203405,76.35716029575893,2.078128028612838,1.3029023990592976,0.7752256295535402,186.01094957316928,178.93601455688477,171.86107954060026,1.662015642438616,0.5552375548412813,0.005537017932572347
2024-12-10 12:00:00,184.69000244140625,185.42799377441406,184.47000122070312,185.22999572753906,1212144,GOOG,30m,182.75536587362404,180.54822867257255,76.73110939244772,2.2346340431187457,1.4892487278711874,0.7453853152475582,186.86448028545541,179.39200897216796,171.9195376588805,1.6838150024414062,0.2923781899370148,0.0029195159621631206
2024-12-10 12:30:00,185.23899841308594,185.55999755859375,184.80599975585938,185.0749969482422,993592,GOOG,30m,183.2192920885477,181.07215663364954,75.70977783007262,2.319422225444498,1.6552834273858497,0.6641387980586484,187.57001531592385,179.82475891113282,172.07950250634178,1.6983860560825892,-0.08367909241053795,-0.0008371412290656864
2024-12-10 13:00:00,185.07989501953125,185.92999267578125,185.0399932861328,185.8699951171875,1009215,GOOG,30m,183.74943269427564,181.65429905482702,77.09443418623054,2.4228382082600604,1.8087943835606919,0.6140438246993685,188.32066385081768,180.2927589416504,172.2648540324831,1.7257646833147322,0.42955460329827666,0.004286346510361787
2024-12-10 13:30:00,185.8800048828125,186.27999877929688,185.7949981689453,185.92999267578125,1144213,GOOG,30m,184.18554469057676,182.2457275390625,77.54496428440899,2.4810375646186458,1.9432430197722828,0.537794544846363,188.93965655436222,180.7802589416504,172.6208613289386,1.7293363298688615,0.032279313590088954,0.00032274104940507127
2024-12-10 14:00:00,185.93499755859375,186.35000610351562,185.86500549316406,186.17739868164062,1025364,GOOG,30m,184.58391548878956,182.86554173060827,78.6811016473873,2.5180975102146874,2.0582139178607637,0.45988359235392373,189.47283247286484,181.28312911987305,173.09342576688127,1.7318365914481026,0.1330640647583925,0.0013297561298806178
2024-12-10 14:30:00,186.14999389648438,186.17999267578125,185.08250427246094,185.74000549316406,1351354,GOOG,30m,184.81513348966448,183.4883989606585,78.90331338585226,2.4835450478805114,2.1432801438647133,0.3402649040157981,189.90107439050868,181.70462951660156,173.50818464269443,1.7659497942243303,-0.23493355883895672,-0.0023520996071633863
2024-12-10 15:00:00,185.72999572753906,185.9499969482422,185.2989959716797,185.94000244140625,1694329,GOOG,30m,185.04010728001285,184.13268498012,79.70082872012131,2.4441256952234482,2.2034492541364603,0.24067644108698794,190.28901231755108,182.12037963867186,173.95174695979264,1.776735578264509,0.10767575230288262,0.001076178235444678
2024-12-10 15:30:00,185.9499969482422,186.85000610351562,185.8800048828125,186.52000427246094,3135970,GOOG,30m,185.33608667850248,184.815185546875,80.39168675154895,2.4316562550751257,2.2490906543241933,0.18256560075093242,190.68038236232104,182.55937957763672,174.4383767929524,1.8183997017996651,0.311929559771551,0.003114440688513821
2024-12-11 09:30:00,186.8000030517578,194.5399932861328,186.25999450683594,194.5,8945900,GOOG,30m,187.168869342802,186.06161390032088,86.94722273017162,3.0307564240494855,2.405423808269252,0.6253326157802337,192.7830946913141,183.39837951660155,174.013664341889,2.3769705636160716,4.278359181185842,0.0418936682121998
2024-12-11 10:00:00,194.51930236816406,195.2100067138672,193.02999877929688,193.35330200195312,4538524,GOOG,30m,188.40575587463223,186.60327802385603,73.6365599314368,3.374123879395512,2.599163822494504,0.774960056901008,194.15268704833917,184.183544921875,174.21440279541085,1.7484000069754464,-0.5895619527233276,-0.005913067302800769
2024-12-11 10:30:00,193.36000061035156,194.52000427246094,193.36000061035156,194.49000549316406,2543376,GOOG,30m,189.6226057983386,187.20113590785436,74.8690439597008,3.6953696128897207,2.8184049805735474,0.8769646323161733,195.48789415922917,185.0330451965332,174.57819623383725,1.6960220336914062,0.5878893607927482,0.005861680343254361
2024-12-11 11:00:00,194.47999572753906,194.47999572753906,192.5500030517578,193.0554962158203,2240402,GOOG,30m,190.30918388183497,187.8743852887835,79.87915010365887,3.7905116029003523,3.0128263050389084,0.7776852978614439,196.160948256244,185.83481979370117,175.50869133115833,1.643385750906808,-0.7375748042714569,-0.00740308336756437
2024-12-11 11:30:00,193.0800018310547,194.19000244140625,192.8800048828125,194.01499938964844,1777231,GOOG,30m,191.05034698339767,188.61329977852958,80.98730536863977,3.8983978983661984,3.189940623704367,0.7084572746618316,196.73490659062261,186.68956985473633,176.64423311885005,1.624356951032366,0.4970089910081965,0.0049577797846627565
2024-12-11 12:00:00,194.00999450683594,195.27999877929688,193.91000366210938,195.14999389648438,2261705,GOOG,30m,191.87027636601502,189.36044202532088,81.11760946221253,4.029038883696813,3.3577602757028564,0.671278607993957,197.2210909518494,187.59881973266602,177.97654851348264,1.6097989763532365,0.5850034844762098,0.005832989834548935
2024-12-11 12:30:00,195.16990661621094,196.75,194.87440490722656,196.38999938964844,2658337,GOOG,30m,192.7742209707417,190.15758514404297,81.87260753456655,4.184395776117697,3.523087375785825,0.6613084003318717,197.59325171578755,188.56581954956056,179.53838738333357,1.675342014857701,0.6354114947202172,0.006334012668675252
2024-12-11 13:00:00,196.30999755859375,196.35000610351562,194.6999969482422,195.52999877929688,1478515,GOOG,30m,193.32537653245276,190.9043709891183,78.70328556287728,4.189824679882435,3.656434836605147,0.5333898432772877,198.49080540553965,189.05381927490234,179.61683314426503,1.742199489048549,-0.4379044824198375,-0.004388660924141363
2024-12-11 13:30:00,195.52999877929688,195.8699951171875,194.58200073242188,194.83999633789062,1387393,GOOG,30m,193.62830049354037,191.54508536202567,74.76914468506094,4.0912878749149115,3.7434054442670996,0.3478824306478119,199.15897767402356,189.4898193359375,179.82066099785146,1.770627702985491,-0.35288827582159454,-0.003535123952263956
2024-12-11 14:00:00,194.8343963623047,195.14999389648438,194.08999633789062,194.2877960205078,1678276,GOOG,30m,193.76019959893387,192.14207131522042,72.46792476358382,3.9234121434264466,3.7794067840989696,0.14400535932747704,199.50503248477668,190.02270889282227,180.54038530086785,1.8116989135742188,-0.2834121986048488,-0.0028381457140533102
2024-12-11 14:30:00,194.27000427246094,194.41000366210938,193.7899932861328,194.41000366210938,1395585,GOOG,30m,193.89016041156898,192.73011452811105,72.28134193863846,3.7569230814088144,3.7749100435609386,-0.017986962152124253,199.73885707776526,190.55969924926757,181.38054142076987,1.8213424682617188,0.06290031803575236,0.0006288054407719476
2024-12-11 15:00:00,194.39500427246094,195.83999633789062,194.3000030517578,195.82000732421875,2149428,GOOG,30m,194.27612979409895,193.45011465890067,75.91683425306422,3.696147919467421,3.7591576187422353,-0.06300969927481415,200.14532322060452,191.1161994934082,182.08707576621188,1.852949959891183,0.7252732038213416,0.007226557459146618
2024-12-11 15:30:00,195.82000732421875,196.88999938964844,195.1999969482422,196.72000122070312,3574922,GOOG,30m,194.7649040794198,194.2201145717076,76.75359868882455,3.678205092942676,3.7429671135823237,-0.06476202063964775,200.6043002019238,191.6906997680664,182.777099334209,1.9271643502371651,0.4596026263007147,0.004585496784482167
2024-12-12 09:30:00,196.32000732421875,196.70530700683594,194.8699951171875,195.58999633789062,4879181,GOOG,30m,194.92992253111396,194.8679711478097,71.91155621515098,3.532087616062853,3.70079121407843,-0.16870359801557688,200.71792978986534,192.21644973754883,183.71496968523232,1.9900218418666296,-0.5744229746850849,-0.0057607912871909285
2024-12-12 10:00:00,195.61000061035156,196.4199981689453,193.97000122070312,195.55999755859375,2228099,GOOG,30m,195.05593753660992,194.94368525913782,54.157888184482196,3.3749633356454183,3.6356256383918275,-0.2606623027464092,200.7731770100311,192.70094985961913,184.62872270920715,1.5735931396484375,-0.0153375836487335,-0.00015338759976376104
2024-12-12 10:30:00,195.55499267578125,196.1699981689453,195.2100067138672,195.27000427246094,1223397,GOOG,30m,195.09875088378013,195.0805925641741,58.06006177885634,3.1902657787533997,3.5465536664641424,-0.3562878877107427,200.64994892855313,193.16795043945314,185.68595195035314,1.4864491053989954,-0.14828865297256133,-0.0014839870940982455
2024-12-12 11:00:00,195.25,196.2899932861328,195.10000610351562,195.72000122070312,1173929,GOOG,30m,195.22300095116475,195.16844940185547,55.48937862541149,3.045100602942739,3.446263053759862,-0.401162450817123,200.43514323966548,193.64508056640625,186.85501789314702,1.488112313406808,0.2304485780695309,0.0023018345257435637
2024-12-12 11:30:00,195.75,196.55999755859375,195.67999267578125,195.835693359375,942098,GOOG,30m,195.34553943280682,195.36703491210938,64.06327908279908,2.9058942044331104,3.3381892838945117,-0.43229507946140133,199.88454146741552,194.1498649597168,188.4151884520181,1.412398202078683,0.05911104534555012,0.0005909358164878448
2024-12-12 12:00:00,195.82000732421875,196.6595001220703,195.74000549316406,196.24000549316406,887824,GOOG,30m,195.5244326448783,195.52596391950334,61.924692351474945,2.79596657861606,3.2297447428388217,-0.43377816422276183,198.96598580627457,194.66486511230468,190.3637444183348,1.384505135672433,0.20645477178009575,0.002062419467906983
2024-12-12 12:30:00,196.22000122070312,196.35000610351562,195.8090057373047,196.35000610351562,726153,GOOG,30m,195.68954733660578,195.61167907714844,57.225147821357574,2.6867530563245623,3.12114640553597,-0.4343933492114078,197.18473149354236,195.15636520385743,193.1279989141725,1.3252912248883928,0.05605412111313601,0.000560384166590556
2024-12-12 13:00:00,196.34500122070312,196.38999938964844,195.88999938964844,195.9600067138672,642127,GOOG,30m,195.74363921205807,195.58096531459265,47.11584911530872,2.5394575755108804,3.0048086395309523,-0.465351064020072,197.26335177300402,195.22936553955077,193.19537930609752,1.227034432547433,-0.19862458748426404,-0.001988221077105246
2024-12-12 13:30:00,195.9600067138672,196.3000030517578,195.41000366210938,195.91000366210938,1112543,GOOG,30m,195.77691210206834,195.6081085205078,52.85958369311605,2.3911265983740293,2.882072231299568,-0.4909456329255386,197.20783594321225,195.3572006225586,193.50656530190494,1.169891357421875,-0.025516967771299637,-0.0002552022390344342
2024-12-12 14:00:00,195.92999267578125,196.10000610351562,194.77000427246094,195.00999450683594,871637,GOOG,30m,195.62352858302188,195.62025124686105,51.24006313291527,2.1758679617535677,2.740831377390368,-0.5649634156368002,197.19677740132084,195.3832000732422,193.56962274516354,1.1728918892996651,-0.45939928459483026,-0.00460457766123414
2024-12-12 14:30:00,195.0,195.2198944091797,194.6300048828125,194.97000122070312,789179,GOOG,30m,195.49282311055816,195.66898018973214,55.37829339120351,1.9792314690772912,2.588511395727753,-0.6092799266504616,196.9437629840855,195.47892532348632,194.01408766288714,1.139312744140625,-0.020508326372681296,-0.0002051042961749946
2024-12-12 15:00:00,194.97000122070312,195.36000061035156,194.02000427246094,194.1103057861328,1255112,GOOG,30m,195.2163196456731,195.64757319859095,47.8833988900264,1.7340365017546446,2.4176164169331313,-0.6835799151784867,196.92896575093198,195.48369064331055,194.03841553568913,1.1907403128487724,-0.44093728737127913,-0.0044191228296327914
2024-12-12 15:30:00,194.1199951171875,194.4499053955078,193.2899932861328,193.6300048828125,3707197,GOOG,30m,194.899056693101,195.49114445277624,32.19508443204994,1.4838564809178365,2.2308644297300724,-0.7470079488122359,197.07035707349226,195.40769119262694,193.74502531176162,1.1635916573660714,-0.24743709581782625,-0.0024774372731758065
2024-12-13 09:30:00,192.75,194.33999633789062,192.42080688476562,193.5500030517578,3386636,GOOG,30m,194.62924596483236,195.26471601213728,20.262691557855987,1.2645545352673366,2.0376024508375252,-0.7730479155701886,197.05536771071291,195.26569137573242,193.47601504075192,1.179962158203125,-0.04131685639480187,-0.00041325394159685304
2024-12-13 10:00:00,193.55999755859375,193.6352996826172,192.57000732421875,192.72999572753906,1519387,GOOG,30m,194.2493959173737,195.060430254255,21.513962388028844,1.012912204005005,1.8326644014710214,-0.8197521974660165,197.23740615287613,195.12569122314454,193.01397629341295,1.1239111764090401,-0.4236669136086113,-0.004245669248096759
2024-12-13 10:30:00,192.75,193.38999938964844,192.17999267578125,192.30999755859375,1403046,GOOG,30m,193.8615162456177,194.82828739711218,19.96305175574672,0.7707092449063566,1.6202733701580885,-0.8495641252517319,197.45761736562255,194.9991912841797,192.54076520273682,1.0353404453822546,-0.21792049927664703,-0.002181582915248513
2024-12-13 11:00:00,192.30499267578125,192.4499969482422,191.66940307617188,192.38999938964844,1020680,GOOG,30m,193.5672128744239,194.62257276262557,22.307710365388445,0.578547992877219,1.4119282947019145,-0.8333803018246955,197.61218650068363,194.90430145263673,192.19641640458983,1.0225263323102678,0.04160045347112451,0.00041591802881519343
2024-12-13 11:30:00,192.38999938964844,193.0500030517578,192.38999938964844,192.6999969482422,834152,GOOG,30m,193.39376968918756,194.40685817173548,20.15813614062175,0.44613031584333385,1.2187686989301985,-0.7726383830868646,197.6951463382678,194.81880111694335,191.9424558956189,0.9846703665597099,0.16112976743969387,0.0016100009270762622
2024-12-13 12:00:00,192.69000244140625,193.33990478515625,192.5449981689453,192.99000549316406,703846,GOOG,30m,193.31301684998286,194.20359475272042,22.817072210869384,0.36043475119979007,1.0471019093841167,-0.6866671581843267,197.62384593333385,194.67730102539062,191.73075611744738,0.9785919189453125,0.15049743098842772,0.0015038429709959705
2024-12-13 12:30:00,193.00999450683594,193.32000732421875,192.5399932861328,192.6199951171875,487548,GOOG,30m,193.1744125034238,193.9450225830078,15.19239177320864,0.2596703357891954,0.8896155946651325,-0.6299452588759371,197.39082535681334,194.47230072021483,191.55377608361633,0.9686290196010044,-0.19172514920191563,-0.0019190917712225424
2024-12-13 13:00:00,192.63499450683594,192.99000549316406,192.42129516601562,192.9394989013672,548994,GOOG,30m,193.1274297830125,193.7014149257115,18.476865837938163,0.20325213173214252,0.7523429020785345,-0.549090770346392,197.28519029863233,194.33977584838868,191.39436139814504,0.9706083025251117,0.16587259489093675,0.0016573517823898231
