Date,Mean_Price,Median_Price,Std_Dev,CI_Lower,CI_Upper,Up_Votes,Down_Votes,Same_Votes,Total_Votes,Direction,Confidence,Pct_Change,Cumulative_Return,Signal
2025-03-21 00:00:00,57.73978969690575,57.73978969690575,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-0.7419450739803095,-0.7419450739803095,SELL
2025-03-22 00:00:00,57.01478613875065,57.01478613875065,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-0.012556394160090911,-0.7451853133463657,SELL
2025-03-23 00:00:00,56.19044339617472,56.19044339617472,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-0.01445840278291699,-0.7488695267210068,SELL
2025-03-24 00:00:00,55.47864243314712,55.47864243314712,,,,0.0,1.0,0.0,1.0,DOWN,1.0,-0.012667651650459466,-0.7520507600753201,SELL
2025-03-25 00:00:00,168.35960900746772,215.51774633454585,79.43257333877594,12.671765263466881,324.04745275146854,4.0,1.0,0.0,5.0,UP,0.8,2.0346742750662012,-0.2475548200783565,BUY
2025-03-25 20:00:00,223.15668851477108,223.76833717152886,1.7319164441194943,219.76213228429685,226.5512447452453,4.0,0.0,0.0,4.0,UP,1.0,0.32547640036912173,-0.00265167144236389,BUY
2025-03-25 20:05:00,223.27061969439183,223.81339874226842,1.5910595889976251,220.1521428999565,226.38909648882716,3.0,1.0,0.0,4.0,UP,0.75,0.0005105434230048278,-0.0021424818127739886,BUY
2025-03-25 20:10:00,223.312530633214,223.84001068736006,1.5684208201854657,220.2384258256505,226.38663544077752,3.0,1.0,0.0,4.0,UP,0.75,0.00018771363146452558,-0.001955170354350777,BUY
2025-03-25 20:15:00,223.31162853533942,223.85509712870908,1.610012631887081,220.15600377684075,226.4672532938381,3.0,1.0,0.0,4.0,UP,0.75,-4.039620490781104e-06,-0.00195920207669531,BUY
2025-03-25 20:20:00,223.32202546610867,223.8631237080776,1.6150923908111396,220.15644438011884,226.4876065520985,3.0,1.0,0.0,4.0,UP,0.75,4.6557946119740734e-05,-0.0019127353470003161,BUY
2025-03-25 20:25:00,223.29308646289016,223.86839276571612,1.6903512765892434,219.97999796077525,226.60617496500507,3.0,1.0,0.0,4.0,UP,0.75,-0.0001295841874894288,-0.0020420716742339806,BUY
2025-03-25 20:30:00,223.34019095024948,223.87040268347886,1.609740076158415,220.185100400979,226.49528149951996,3.0,1.0,0.0,4.0,UP,0.75,0.0002109536309675697,-0.0018315488257006907,BUY
2025-03-25 20:35:00,223.29364216735436,223.8717194311116,1.7092780431849628,219.94345720271184,226.6438271319969,3.0,1.0,0.0,4.0,UP,0.75,-0.00020842098637541273,-0.002039588078863175,BUY
