,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2025-02-24 15:45:00,247.47,247.79,246.82,247.23,3964398,AAPL,15min,247.7126070606525,247.84439285714285,42.33087197306976,0.1383709579315564,0.23955000614494046,-0.10117904821338405,248.65688337995095,247.77809499999998,246.899306620049,0.6017928571428561,-0.10101826410214843,-0.001010693219386157
2025-02-24 16:00:00,247.22,248.1,247.1,247.95,16995121,AAPL,15min,247.760085648522,247.87137857142858,54.51827401454245,0.1457485940522929,0.22078972372641095,-0.07504112967411805,248.5953384199187,247.83359499999997,247.07185158008124,0.6417928571428563,0.29122679286495146,0.002908035491741077
2025-02-24 16:15:00,247.1,248.0,236.85,247.9,1470640,AAPL,15min,247.78806851881762,247.91637857142857,58.018123504556364,0.14587923666479696,0.20580762631408817,-0.0599283896492912,248.55458829581784,247.873085,247.19158170418217,1.3960785714285708,-0.0201653559185222,-0.00020167389399795886
2025-02-24 16:30:00,247.85,248.2,243.1601,247.87,63194,AAPL,15min,247.80445481505413,247.92780714285715,52.273631558006,0.14192598815137103,0.19303129868154473,-0.0511053105301737,248.52130487583693,247.856835,247.19236512416305,1.7210714285714264,-0.012101653892704345,-0.00012102386201920653
2025-02-24 16:45:00,247.88,248.17,247.84,247.89,48716,AAPL,15min,247.8215638520433,247.91709285714282,47.66253194539663,0.13880676509208456,0.18218639196365272,-0.043379626871568155,248.5126287440312,247.851335,247.19004125596882,1.706078571428569,0.008068745713463166,8.068420207685594e-05
2025-02-24 17:00:00,247.891,265.1391,247.1,247.9,17983,AAPL,15min,247.83725108163466,247.90678571428572,47.755343309585484,0.135578806682787,0.1728648749074796,-0.0372860682246926,248.51750022440612,247.85632500000003,247.19514977559393,2.9552999999999963,0.004034047359713355,4.033965994211061e-05
2025-02-24 17:15:00,247.91,251.2043,247.86,247.91,14276,AAPL,15min,247.85180086530772,247.90178571428572,48.89240506329123,0.13230244261072244,0.16475238844812817,-0.032449945837405736,248.52300484220402,247.862075,247.201145157796,3.1684928571428514,0.004033884630905149,4.0338032719670146e-05
2025-02-24 17:30:00,247.91,248.0,247.75,247.9,10650,AAPL,15min,247.8614406922462,247.86964285714285,41.96428571428579,0.1274300497609886,0.15728792071070025,-0.02985787094971165,248.52523387037354,247.878465,247.23169612962647,3.1299214285714236,-0.004033721915208677,-4.033803271958934e-05
2025-02-24 17:45:00,247.9,247.95,247.54,247.78,21194,AAPL,15min,247.84515255379696,247.80678571428572,33.14176245210709,0.11258780408371649,0.14834789738530352,-0.035760093301587026,248.48677725025965,247.90396500000003,247.3211527497404,3.127064285714279,-0.048406615570795175,-0.0004841833535520353
2025-02-24 18:00:00,247.77,248.0,247.61,247.83,18026,AAPL,15min,247.8421220430376,247.8017857142857,48.157894736842266,0.10366481611339395,0.1394112811309216,-0.03574646501752765,248.48680967771713,247.909965,247.33312032228287,3.086357142857135,0.020179191218017145,0.00020177155493083357
