Datetime,Up_Vote,Down_Vote,Direction_Confidence,Weighted_Price,Model_Count,Total_Votes,Direction,Pct_Change
2025-03-27 00:00:00+00:00,1,4,0.8,225.87348262295305,5,5,DOWN,-1.5121785630695106
2025-03-28 00:00:00+00:00,3,2,0.6,226.9850953792374,5,5,UP,-1.0274810351587171
2025-03-29 00:00:00+00:00,2,3,0.6,227.38418248982254,5,5,DOWN,-0.8534667169277421
2025-03-30 00:00:00+00:00,2,3,0.6,227.61052852368965,5,5,DOWN,-0.7547728485391536
2025-03-31 00:00:00+00:00,3,2,0.6,227.78169288764585,5,5,UP,-0.6801398942059333
2025-04-01 00:00:00+00:00,4,1,0.8,227.6790801905473,5,5,UP,-0.7248822024735868
2025-04-02 00:00:00+00:00,3,2,0.6,227.46053160325081,5,5,UP,-0.8201761430946752
2025-04-03 00:00:00+00:00,4,1,0.8,227.42091746419615,5,5,UP,-0.8374491324172229
2025-04-04 00:00:00+00:00,2,3,0.6,227.3257389772889,5,5,DOWN,-0.8789498952084362
2025-04-05 00:00:00+00:00,0,1,1.0,227.32032979926353,5,1,DOWN,-0.8813084640554525
2025-04-06 00:00:00+00:00,0,1,1.0,227.46074660240146,5,1,DOWN,-0.820082396818167
2025-04-07 00:00:00+00:00,0,1,1.0,227.4137169671298,5,1,DOWN,-0.8405887717458094
2025-04-08 00:00:00+00:00,0,1,1.0,221.58653118839078,1,1,DOWN,-3.3814219221970365
2025-04-09 00:00:00+00:00,0,1,1.0,221.63311901925132,1,1,DOWN,-3.361108187651285
2025-04-10 00:00:00+00:00,1,0,1.0,221.6342163771517,1,1,UP,-3.3606297056812617
2025-04-11 00:00:00+00:00,0,1,1.0,221.63413878618906,1,1,DOWN,-3.3606635377397387
2025-04-12 00:00:00+00:00,0,1,1.0,221.6341055329193,1,1,DOWN,-3.3606780371933875
2025-04-13 00:00:00+00:00,0,0,0.0,221.63411661734258,1,0,DOWN,-3.360673204042164
2025-04-14 00:00:00+00:00,0,0,0.0,221.63413878618906,1,0,DOWN,-3.3606635377397387
2025-04-15 00:00:00+00:00,0,0,0.0,221.63414987061228,1,0,DOWN,-3.360658704588526
2025-04-16 00:00:00+00:00,0,0,0.0,221.63418312388197,1,0,DOWN,-3.3606442051348995
2025-04-17 00:00:00+00:00,0,0,0.0,221.63417203945875,1,0,DOWN,-3.360649038286101
2025-04-18 00:00:00+00:00,0,0,0.0,221.63419420830522,1,0,DOWN,-3.360639371983687
2025-04-19 00:00:00+00:00,0,0,0.0,221.63419420830522,1,0,DOWN,-3.360639371983687
