datetime,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2024-12-05 11:05:00,175.18899536132812,175.35989379882812,175.14999389648438,175.2899932861328,120068,GOOG,5m,175.52956185026204,175.8007550920759,32.82503564140552,-0.2913945625105612,-0.21852412557081322,-0.07287043693974796,176.65790199901832,175.87250823974608,175.08711448047384,0.3397794451032366,0.05136777366339107,0.000513545849388449
2024-12-05 11:10:00,175.2864990234375,175.52999877929688,175.27999877929688,175.4600067138672,92388,GOOG,5m,175.51565082298308,175.7428981236049,30.926990514515666,-0.2829864446752879,-0.23141658939170817,-0.05156985528357971,176.54999825217175,175.8170082092285,175.08401816628526,0.31692940848214285,0.09698980788757083,0.0009694280316413921
2024-12-05 11:15:00,175.4499969482422,175.5500030517578,175.3699951171875,175.49000549316406,114572,GOOG,5m,175.51052175701926,175.68789890834265,32.038157613725346,-0.2707809062031856,-0.23928945275400368,-0.031491453449181944,176.5473595718336,175.80000839233398,175.05265721283436,0.31121608189174105,0.01709721768436978,0.00017095756276678042
2024-12-05 11:20:00,175.49000549316406,175.75999450683594,175.47000122070312,175.60000610351562,105563,GOOG,5m,175.52841862631854,175.6393280029297,34.77672715347616,-0.24935736262912656,-0.24130303472902825,-0.008054327900098301,176.53423950502395,175.7840087890625,175.03377807310108,0.3090722220284598,0.06268198011758486,0.0006266234316988416
2024-12-05 11:25:00,175.58999633789062,175.58999633789062,175.34849548339844,175.41000366210938,130069,GOOG,5m,175.5047356334767,175.5710002354213,29.53214274054001,-0.24488774560916227,-0.24201997690505506,-0.0028677687041072097,176.52138466604637,175.75727920532228,174.99317374459818,0.30489349365234375,-0.10820184214244133,-0.0010826042259622225
2024-12-05 11:30:00,175.38999938964844,175.47000122070312,175.22000122070312,175.3800048828125,98659,GOOG,5m,175.4797894833439,175.51400756835938,31.683771760832258,-0.24098823038806927,-0.24181362760165792,0.0008253972135886523,176.50665961478504,175.7295295715332,174.95239952828135,0.3006079537527902,-0.017102091483145454,-0.00017103554057567197
2024-12-05 11:35:00,175.375,175.47000122070312,175.3000030517578,175.30999755859375,82325,GOOG,5m,175.44583109839385,175.47499302455358,35.823366336633654,-0.24077137987742958,-0.24160517805681225,0.0008337981793826721,176.47730248857124,175.69302978515626,174.90875708174127,0.28962271554129465,-0.03991750614075196,-0.000399254752980309
2024-12-05 11:40:00,175.30999755859375,175.3800048828125,175.14999389648438,175.17999267578125,118017,GOOG,5m,175.39266341387133,175.43070656912667,34.50151426152098,-0.2482284092472753,-0.24292982429490487,-0.005298584952370428,176.40527883176384,175.63852920532227,174.8717795788807,0.28390938895089285,-0.07415714141976171,-0.0007418465142914465
2024-12-05 11:45:00,175.1699981689453,175.36000061035156,175.14999389648438,175.2899932861328,76478,GOOG,5m,175.37212938832363,175.39713505336218,38.64852514114716,-0.24246701993067177,-0.24283726342205827,0.00037024349138650714,176.31270862458408,175.59002914428712,174.86734966399015,0.28246634347098215,0.062792907267184,0.000627732007702587
2024-12-05 11:50:00,175.3000030517578,175.36000061035156,175.24319458007812,175.27000427246094,75610,GOOG,5m,175.3517043651511,175.3564213344029,35.82256093395374,-0.23678451919283816,-0.24162671457621426,0.004842195383376102,176.19745520656332,175.5395294189453,174.8816036313273,0.27795192173549105,-0.011403396906550789,-0.00011404047143289017
